"Tmax","Cmax","AUC","Half_life","CL","V","Ka","Ke"
0.435917237704457,17.398158413129,128.263853257366,4.79717519221063,1.94910720090691,13.4923646625537,9.82430695403378,0.144460014953227
0.205300763823471,16.5373080251321,94.9255541726122,3.83293201597198,2.63364277595263,14.5664844366265,23.9896685902496,0.180801537077162
0.365282167669601,10.1216699930977,89.880983485408,5.89522383131971,2.78145599108389,23.6613357062117,13.0003082878776,0.117552788465517
1.23109974178051,7.42736936802375,64.8323559650402,5.12074998627711,3.85609926214634,28.4936800053666,2.5062222902245,0.135331738877536
0.334109697101372,15.5286246695082,122.324077628568,5.22224108202162,2.04375135988448,15.4011000187969,14.0970244399143,0.13270164841408
0.873699794328429,9.28686631790451,107.711504980319,7.40668514056256,2.32101482609197,24.8066753585004,4.53569157133569,0.0935641230656343
1.47629006298592,10.900061999522,83.053557331039,4.1190191179126,3.01010586462344,17.891318330916,1.75753278995973,0.168243938705289
1.16780343721613,9.3287074467205,62.8783557347594,3.76827237244957,3.97593093964763,21.6196114208393,2.37442387107413,0.183903903833128
0.24055036093145,12.6827128081508,117.64297464731,6.25922474429877,2.12507377299403,19.1938157913198,22.1349608767078,0.110716586847472
0.664429907266641,10.34186282389,80.7581822662919,4.92889870333713,3.09566155384293,22.0176078192021,5.7173221289213,0.140599359351979
0.840718959314268,9.61327736646388,54.8692502269017,3.31851202510678,4.55628606124871,21.8183118096396,3.59316388830034,0.20882853361898
0.658106522106434,11.4690582772925,120.178060168587,6.78983883827039,2.08024659117727,20.3817303000794,6.38751834039461,0.102064278181974
2.68089039960844,7.40691185164562,84.01994870144,5.66209136781463,2.97548384477549,24.3109111003971,0.841568418427401,0.122392938400687
1.3978435066279,8.18867913272787,108.684812909915,8.16941294185161,2.30022938170043,27.1161957865668,2.5073930062741,0.0848286168091449
0.661649625767342,8.60120776204757,61.7076791134942,4.48903392090722,4.05135962965313,26.2434210725931,5.57521026112007,0.154376200360711
0.411571015125779,15.5397509947545,101.197365941089,4.21784449404012,2.47042003193575,15.035855021164,10.1937313664324,0.16430193217868
0.310814653482291,11.805125261267,73.0345514872462,4.06616874581135,3.42303738311663,20.0846286045782,14.4575385447401,0.170430703525001
0.887324274142655,8.53930301231246,59.5446205885614,4.16972339579914,4.19853208449237,25.2622185580392,3.64680403703872,0.166198074600866
1.96998360563053,6.42365648684408,63.3361184439567,5.27470727234642,3.94719484145865,30.0437190990047,1.29153241869473,0.131381698399298
1.01407511432044,9.28924661312503,90.9755426579135,6.04173606937,2.74799130289391,23.9576308412831,3.47970297686539,0.11470213065303
